colocating with mcf
gmm
2379235757	3124989754	0.761358	8.945060
0.006987	2375980800	299362895296	0.815289	35.485386
0.006621	2376232498	302254016132	0.821907	35.546520
0.006883	2376183341	305149722510	0.820588	35.337044
0.006765	2375951175	308048732462	0.819573	35.505657
0.006704	2376397972	310932637772	0.824021	35.359421
0.006966	2378532468	313821249036	0.823417	35.226387
0.006541	2378385026	316706136197	0.824429	35.489288
0.006933	2379080725	319357478743	0.897312	32.855930
0.006477	2379013572	322222788120	0.830282	34.983315
0.006877	2378454855	325128688445	0.818492	35.631737
0.006742	2378787363	327989355960	0.831550	35.017696
0.006972	2378370892	330911515445	0.813909	35.680672
0.006598	2376415698	333757540419	0.834995	35.014954
0.007063	2379043019	336642042329	0.824767	35.130070
0.006606	2378744159	339544479626	0.819568	35.565762
0.006758	2378507270	342371855371	0.841242	34.737514
0.006883	2378744384	345294696059	0.813847	35.545998
0.006644	2378459829	348153912509	0.831857	35.142403
0.006866	2379755849	350804179121	0.897931	32.585827
0.006313	2379216710	353637983935	0.839584	34.873154
0.006969	2376459874	356534557198	0.820438	35.354385
0.006756	2376565892	359396842377	0.830304	35.126350
0.006746	2376206886	362281727198	0.823675	35.294807
0.006942	2376584079	364988738509	0.877937	33.356808
0.006444	2376501551	367732465326	0.866158	33.711765
0.006780	2376274853	370639206631	0.817505	35.569679
0.006688	2376235791	373440684052	0.848208	34.268692
0.006585	2376687344	376299157117	0.831454	35.106327
0.006978	2379415956	379129912862	0.840559	34.514458
0.006595	2378997784	381731172367	0.914556	32.289669
0.006654	2378641631	384586065314	0.833181	35.017200
0.006745	2376177328	387407201796	0.842277	34.687931
0.006927	2376086325	390316514183	0.816717	35.390202
0.006670	2377589056	393189188038	0.827657	35.215946
0.006766	2378772123	396067880938	0.826338	35.275768
0.007032	2378693318	398965811436	0.820825	35.356651
0.006537	2378452390	401846054389	0.825782	35.383205
0.007040	2376559542	404740559499	0.821059	35.331898
0.006717	2378784995	407639702695	0.820513	35.528370
0.006825	2378987041	410288083439	0.898280	32.696938
0.006468	2376137601	413159789715	0.827431	35.223778
0.006982	2376337411	416076368788	0.814769	35.548950
0.006615	2376134911	418955951846	0.825166	35.391628
0.006959	2379535195	421808846830	0.834077	34.859661
0.006756	2376333016	424718807196	0.816620	35.533108
0.006627	2378753837	427584091824	0.830198	35.206707
