colocating with milc
gmm
2381142914	3159754203	0.753585	8.755790
0.006892	2381655557	416060294457	0.842124	34.415257
0.007055	2382148508	418880965776	0.844533	34.350048
0.007166	2381957508	421648450751	0.860694	33.593575
0.006806	2380020123	424509225066	0.831950	34.605312
0.006969	2378734506	427311776886	0.848775	33.990093
0.007044	2381655758	430157245170	0.837000	34.500366
0.006671	2378577068	432879583912	0.873726	32.996853
0.007209	2379031657	435557318187	0.888449	32.663647
0.007095	2378954425	438350798077	0.851610	33.877750
0.007036	2378954705	441136013077	0.854137	33.780033
0.007118	2379407632	443902433641	0.860103	33.515572
0.007010	2379507863	446699600856	0.850685	33.935562
0.006979	2379996560	449487121003	0.853804	33.788551
0.006996	2379861560	452264860326	0.856762	33.554012
0.007009	2380049020	455045838448	0.855832	33.724232
0.006994	2382463496	457826086837	0.856925	33.688042
0.006951	2381999830	460612958211	0.854722	33.803902
0.006995	2379499916	463235330267	0.907385	32.180416
0.006947	2359721297	466038844742	0.841701	33.946587
0.007027	2363813177	468840938470	0.843588	33.871105
0.007012	2382354229	471669634364	0.842209	34.302704
0.006956	2362950690	474440902120	0.852661	33.583881
0.007070	2379547991	477205563486	0.860701	33.594463
0.007176	2379247124	479934737161	0.871783	33.137657
0.007171	2377810346	482676645762	0.867210	33.201279
0.006960	2382109945	485442798392	0.861164	33.601254
0.007145	2382220639	488221122419	0.857431	33.708668
0.007019	2382586162	490929533781	0.879699	32.893429
0.006883	2382506810	493667205779	0.870267	33.217781
0.007098	2382077855	496452026250	0.855379	33.981968
0.007367	2379961841	499229648844	0.856834	33.669235
0.006963	2379869659	502030506031	0.849693	34.007240
0.007174	2379087867	504774046050	0.867160	33.157856
0.006928	2383083946	507545678361	0.859812	33.712120
0.007278	2381956336	510337732901	0.853120	33.829826
0.007018	2377696287	512973544643	0.902074	31.855064
0.007111	2378342613	515810909230	0.838406	33.882893
0.005786	2381068328	518509772552	0.882249	32.631172
0.006611	2381132969	521203913204	0.883819	32.716434
0.007116	2378484385	523939787201	0.871127	33.142109
0.007196	2378341813	526639275326	0.881034	32.890362
0.007125	2378084770	529371164326	0.870491	33.074188
0.007026	2380461621	532143995181	0.858495	33.383709
0.006779	2380491450	534871544932	0.872758	33.001419
0.007203	2378288815	537610548516	0.868304	33.206734
0.007200	2378428603	540373807188	0.860733	33.502838
0.007191	2377911153	543097128237	0.873166	33.036259
0.007310	2378905552	545802685763	0.879266	32.953087
0.006900	2378472253	548554948107	0.864188	33.346924
0.006871	2381023303	551307564441	0.865004	33.399857
0.007167	2378674321	554049272465	0.867589	33.213932
0.007015	2378171365	556767152593	0.875010	33.015331
0.007188	2378574198	559503034593	0.869399	33.222099
0.007119	2379305403	562145290531	0.900483	32.193092
0.006768	2378028873	564848168631	0.879814	32.703773
0.007061	2380712093	567557934843	0.878567	32.890747
0.007185	2380983008	570267574412	0.878708	32.963409
0.007215	2380851009	573007217260	0.869037	33.210983
0.007142	2380522046	575751107138	0.867572	33.184055
0.006952	2381254070	578510235167	0.863046	33.394527
0.007012	2378131745	581245128848	0.869552	33.229355
0.007244	2380862561	583999460900	0.864406	33.342125
0.007045	2381150727	586768352370	0.859965	33.463039
0.006969	2378530014	589335300531	0.926598	31.432293
0.007241	2378613464	592100836555	0.860091	33.526932
0.007149	2378092161	594824333598	0.873176	32.991844
0.007056	2380279943	597598155493	0.858123	33.399338
0.006830	2381549963	600310349302	0.878090	32.849064
0.007135	2378396146	603039506727	0.871476	33.174957
0.007198	2378502278	605791404202	0.864314	33.407448
0.007082	2378667875	608571013356	0.855756	33.616650
0.006969	2378728917	611348095938	0.856557	33.720528
0.007181	2379165970	614127060643	0.856134	33.622784
0.007033	2378482170	616763799337	0.902055	32.119003
0.006954	2377780337	619518817700	0.863072	33.315727
0.006999	2381253839	622294781054	0.857812	33.582336
0.007012	2378379557	625046357720	0.864370	33.398319
0.007195	2379506679	627789853684	0.867326	33.188995
0.007104	2378332430	630555997385	0.859801	33.466179
0.007024	2380625413	633292899116	0.869825	33.135391
0.007145	2381477870	636084201069	0.853178	34.028984
0.007368	2381035305	638824276967	0.868967	33.279507
0.007176	2380223645	641617430182	0.852164	33.946911
0.007446	2380358531	644354987938	0.869519	33.442905
0.006769	2379483900	647242819828	0.824533	34.954269
0.006879	2380506653	650048763262	0.848989	34.312618
0.007233	2380371858	652916957089	0.829920	34.769611
0.007024	2380682287	655780728149	0.832959	34.924999
0.007057	2380867898	658659421903	0.827937	34.564365
0.005777	2382797799	661548326976	0.824810	35.035976
0.006815	2382751537	664407567309	0.833351	34.914234
0.007121	2382745179	667285816528	0.827845	34.870567
0.007065	2382692889	670157731149	0.829653	35.023018
0.006990	2382779890	673026796451	0.830507	34.784069
