colocating with libquantum
gmm
2368744738	2485090264	0.953183	4.227947
0.004147	2369383470	169474037960	1.409158	19.795898
0.004717	2370450262	171192433520	1.379456	19.975901
0.004275	2370377815	172816935668	1.459141	19.103535
0.004348	2369878014	174542620940	1.373297	20.060329
0.004364	2369922008	176157460357	1.467590	19.128906
0.004372	2368559518	177803890997	1.438603	19.323906
0.004399	2368071199	179519160847	1.380582	19.936178
0.004113	2368722279	181192753884	1.415351	19.709692
0.004726	2365379731	182910362199	1.377136	20.081934
0.004397	2365178989	184575080868	1.420768	19.515299
0.004517	2364639650	186304413746	1.367371	20.122021
0.004359	2363651912	187977482953	1.412764	19.714554
0.004759	2366734486	189712170898	1.364357	20.183369
0.004381	2365647711	191380948334	1.417593	19.648996
0.004693	2366963779	192996545524	1.465070	19.062653
0.004417	2366723806	194718297092	1.374602	20.039700
0.004176	2364836862	196389730199	1.414856	19.674982
0.004699	2368127342	198140427007	1.352677	20.359659
0.004345	2367335406	199794267129	1.431417	19.510540
0.004625	2365884947	201480956358	1.402680	19.645304
0.004500	2366186044	203197608767	1.378372	20.041836
0.004352	2369682556	204845895512	1.437664	19.490467
0.004730	2367687823	206567483820	1.375293	20.013720
0.004291	2364474555	208231148007	1.421245	19.587732
0.004736	2367618290	209969513378	1.361980	20.229080
0.004383	2368241137	211577887937	1.472444	19.028120
0.004126	2365414117	213258322139	1.407621	19.815046
0.004818	2362543545	215016506476	1.343741	20.377842
0.004307	2364588579	216697614255	1.406566	19.818998
0.004565	2368125017	218388423006	1.400587	19.714024
0.004480	2369389626	220144292108	1.349411	20.651968
0.004651	2369816934	221883275689	1.362760	20.223255
0.004457	2368600160	223531099531	1.437411	19.422840
0.004495	2365309897	225244812811	1.380225	19.978024
0.004542	2367379853	227021042742	1.332812	20.876488
0.004510	2366167275	228592663245	1.505559	18.575457
0.004205	2363609965	230307000900	1.378731	19.957563
0.004218	2362405488	232035478554	1.366755	20.391001
0.004730	2362959229	233752353421	1.376314	20.036545
0.004419	2365785700	235441826080	1.400310	19.879023
0.004557	2366303703	237061518682	1.460959	19.189720
0.004298	2363554244	238837418506	1.330905	20.684296
0.004441	2365886208	240525076158	1.401876	19.783243
0.004641	2364991192	242231787347	1.385701	20.006433
0.004316	2366218797	243936136519	1.388342	19.929731
0.004604	2363894574	245656954857	1.373704	20.213820
0.004362	2363740693	247333766908	1.409663	19.618093
0.004374	2362566867	249073296824	1.358164	20.280428
0.004330	2362837878	250764162115	1.397413	19.877270
0.004756	2364326725	252504873498	1.358253	20.254135
0.004180	2366361851	254111167857	1.473181	19.021986
0.004304	2365996529	255811974815	1.391102	19.870789
0.004576	2365814386	257564023444	1.350313	20.548756
0.004448	2365539839	259259420808	1.395272	19.883833
0.004419	2366123176	261002743100	1.357249	20.182371
0.004186	2366046271	262675543116	1.414423	19.752432
0.004682	2366487607	264364043481	1.401532	19.619640
0.004147	2366423524	266017320274	1.431354	19.379892
0.004267	2365853659	267688620868	1.415576	19.583723
0.004541	2366459097	269423171647	1.364307	20.327141
0.004512	2366457896	271032620066	1.470353	18.974825
0.004200	2365826230	272701670945	1.417468	19.438442
0.004252	2364020851	274423639128	1.372860	20.189632
0.004263	2365817434	276105963912	1.406279	19.715252
0.004525	2364991331	277796646097	1.398838	19.710560
0.004138	2366157848	279434545188	1.444630	19.319351
0.004505	2367790764	281152317881	1.378408	20.006571
0.004268	2366934099	282845163418	1.398198	19.965443
0.004523	2368550212	284519051496	1.414999	19.618004
0.004209	2369558629	286152526877	1.450624	19.386341
0.004323	2368909322	287744610524	1.487930	18.894274
0.004074	2368210264	289403986732	1.427169	19.557777
0.004406	2369734820	291110085962	1.388978	20.043621
0.004122	2370043955	292720933361	1.471303	19.104836
0.004449	2370484248	294376886805	1.431492	19.378498
0.004179	2370112321	296030849509	1.432990	19.532509
0.004154	2369668011	297695834758	1.423237	19.626919
0.004341	2369302029	299370128174	1.415106	19.613001
0.004240	2367465284	301059843184	1.401103	19.907444
0.004202	2366632845	302673548542	1.466583	19.161163
0.004503	2368196740	304257524802	1.495096	18.727453
0.004027	2368149261	305919666495	1.424758	19.455372
0.004017	2365395509	307534669209	1.464639	19.182804
0.004534	2364173699	309227182087	1.396842	19.810894
0.004133	2366518585	310869433857	1.441020	19.471107
0.004366	2366042901	312471545807	1.476827	18.929626
0.004322	2366320766	314174269805	1.389727	19.885813
0.004037	2367465062	315784047754	1.470678	18.995895
0.004176	2369932458	317373412818	1.491119	18.793142
0.004413	2370756848	319025661812	1.434867	19.287542
0.004136	2370318904	320620465967	1.486276	18.825932
0.003937	2369859865	322193161074	1.506878	18.613424
0.003996	2368562384	323854020304	1.426107	19.646420
0.004432	2367873111	325525543474	1.416596	19.569803
0.004210	2368069698	327146158428	1.461217	19.229399
0.004353	2368803252	328755082294	1.472291	18.984331
0.004205	2367898735	330434826484	1.409678	19.544792
0.004020	2367990144	332087074227	1.433193	19.564816
0.004370	2368481985	333723857235	1.447035	19.206226
0.004267	2369463138	335400123316	1.413536	19.748100
0.004203	2368093574	337049394473	1.435843	19.555853
