colocating with libquantum
gmm
852187725	3548936767	0.240125	8.814014
0.006905	2372022674	268994322331	0.897849	32.231449
0.006856	2373661295	271584678421	0.916346	31.584763
0.006974	2372517020	274188015639	0.911337	31.870586
0.007086	2375389260	276829965111	0.899105	32.298595
0.007185	2375289828	279528200981	0.880312	32.863853
0.006985	2375499872	282172095462	0.898485	32.427784
0.007089	2374888128	284597203919	0.979292	29.832428
0.006418	2373202218	287228583794	0.901885	32.453110
0.007449	2373278473	289904777625	0.886811	32.519882
0.006877	2375328035	292510269048	0.911662	32.039478
0.007286	2375630010	295156905980	0.897603	32.255627
0.007088	2376138943	297818102764	0.892884	32.488117
0.006911	2374833406	300403735937	0.918473	31.796608
0.007396	2375282512	303083440368	0.886397	32.601269
0.006831	2375713519	305740805576	0.894011	32.758480
0.007346	2375166506	308376073109	0.901300	32.073853
0.006845	2376723804	310789891128	0.984632	29.835684
0.006607	2376217117	313439853760	0.896698	32.319702
0.007240	2375217730	316079163717	0.899939	32.372089
0.007209	2372907480	318696351009	0.906663	31.950996
0.007293	2375637339	321364765968	0.890280	32.555058
0.006825	2375663881	323995942763	0.902890	32.232132
0.007135	2375544812	326631812213	0.901238	32.180668
0.007193	2376064234	329290240356	0.893785	32.497890
0.006837	2375646095	331939210484	0.896819	32.534565
0.007233	2375580330	334567121909	0.903980	31.940653
0.006820	2375519920	337203602741	0.901019	32.194801
0.006970	2375407375	339835279937	0.902621	32.308533
0.007381	2375682324	342436768999	0.913201	31.793100
0.007046	2374984070	345087456675	0.895988	32.217567
0.006769	2375297285	347744866738	0.893839	32.427242
0.006943	2376546399	350093754811	1.011775	29.104984
0.006968	2372853464	352723634912	0.902267	32.041805
0.006878	2372852707	355377775761	0.894019	32.540676
0.007115	2375381465	358005788352	0.903870	32.155994
0.007293	2374846049	360638780501	0.901957	32.035892
0.007002	2375749041	363288022630	0.896766	32.273678
0.006913	2374393374	365928749555	0.899144	32.432907
0.007330	2375001025	368544886792	0.907827	31.936308
0.007214	2375113273	371199611928	0.894674	32.279285
0.006900	2375289508	373811102074	0.909553	32.075275
0.007260	2376038485	376448628320	0.900859	32.252434
0.007177	2375356665	379110733337	0.892285	32.371834
0.006937	2375343586	381712754827	0.912884	31.785196
0.006956	2375584556	384349179416	0.901063	32.357536
0.007348	2375083775	386999330568	0.896207	32.305237
0.007059	2375599137	389577946178	0.921269	31.482172
0.006963	2372684648	392210243955	0.901374	32.079739
0.006849	2373032648	394818474132	0.909825	32.046040
0.007268	2374942418	397435716635	0.907422	31.932877
0.007100	2375181318	400075380357	0.899805	32.103767
0.007028	2375443540	402702757314	0.904112	32.029118
0.006942	2376700103	405083063691	0.998485	29.638680
0.006877	2375013259	407684876980	0.912830	31.652321
0.006945	2375259330	410305108830	0.906507	31.932844
0.006962	2372641522	412898088040	0.915025	31.626608
0.006957	2372616802	415533386890	0.900322	32.320049
0.007193	2372764766	418110781534	0.920606	31.457369
0.007071	2372652191	420702520232	0.915467	31.602833
0.007005	2372629063	423283193810	0.919384	31.467318
0.006910	2374920725	425897963473	0.908271	31.844988
0.006904	2374829336	428510110358	0.909148	31.826376
0.006997	2375039345	431087854780	0.921363	31.557568
0.007244	2375461998	433701606104	0.908832	31.832932
0.007052	2374853146	436321888160	0.906335	31.950924
0.006902	2375250350	438940224605	0.907160	31.901554
0.006875	2375957922	441550338640	0.910289	31.853600
0.006957	2375481666	444198163429	0.897144	32.408337
0.007061	2375112427	446790826783	0.916090	31.677984
0.007324	2374807329	449423430508	0.902076	32.148109
0.006951	2375067963	452034252246	0.909701	31.984684
0.007213	2373344360	454681623378	0.896491	32.261047
0.007158	2373383533	457052575748	1.001025	29.409393
0.006668	2375279453	459642640774	0.917073	31.638432
